Date,X,Y,Debris
2012-07-07,-124.566666666228,48.383333333066,0
2012-07-07,-124.01666666655501,48.2833333331461,0
2012-07-07,-124.033333333701,48.31666666694429,0
2012-07-07,-124.349999999609,48.300000000247294,1
2012-07-07,-126.183333333652,44.8999999999532,1
2012-07-07,-127.95,44.6500000000667,1
2012-07-08,-125.033333333762,46.4333333335167,0
2012-07-08,-125.76666666666,45.03333333344979,0
2012-07-08,-125.8,45.0166666667704,1
2012-07-08,-125.400000000211,45.36666666675,0
2012-07-08,-125.3,46.1,0
2012-07-08,-125.44999999985501,46.6166666665722,1
2012-07-08,-125.84999999969901,46.016666666969,1
2012-07-08,-125.533333332894,46.06666666678701,1
2012-07-08,-128.016666666796,45.4833333330346,1
2012-07-08,-129.28333333312,42.86666666641,1
2012-07-09,-126.05,43.03333333316011,1
2012-07-09,-127.733333333386,41.5500000001035,1
2012-07-09,-126.966666667092,43.200000000272595,0
2012-07-09,-126.033333332924,43.183333333187505,1
2012-07-09,-126.59999999974501,44.58333333323421,0
2012-07-09,-127.01666666673599,43.5333333331871,1
2012-07-09,-126.616666666891,39.5666666663575,1
2012-07-09,-127.01666666673599,43.65000000023151,0
2012-07-09,-128.766666666842,40.5499999998105,1
2012-07-10,-128.033333333045,39.9833333331779,1
2012-07-10,-128.849999999881,38.8666666666532,1
2012-07-10,-128.849999999881,40.0166666663596,0
2012-07-10,-128.083333333587,39.850000000205,1
2012-07-10,-128.400000000392,42.216666666967,1
2012-07-10,-129.016666666857,40.5499999998105,1
2012-07-10,-128.599999999865,36.883333333501,1
2012-07-10,-127.35,42.6000000001495,1
2012-07-10,-130.450000000157,38.3833333330089,0
2012-07-20,-153.633333332975,23.433333333203503,0
2012-07-11,-132.283333333301,34.199999999953604,0
2012-07-11,-131.93333333310102,36.183333333046605,0
2012-07-11,-131.633333333442,37.5833333330142,0
2012-07-11,-130.783333333211,37.1999999997999,0
2012-07-11,-132.950000000308,39.683333332995794,0
2012-07-11,-130.083333333708,37.1500000003365,0
2012-07-11,-132.149999999721,38.3833333330089,1
2012-07-11,-131.733333333628,34.8,0
2012-07-11,-129.0,40.766666666647,0
2012-07-11,-132.71666666654102,36.050000000259104,1
2012-07-12,-138.133333332936,33.1499999998462,1
2012-07-12,-136.81666666696898,32.0333333334073,1
2012-07-12,-135.033333333468,34.0666666667952,1
2012-07-12,-134.533333333437,35.4500000001242,0
2012-07-12,-132.866666666371,36.3500000000103,1
2012-07-12,-133.0,34.949999999657805,1
2012-07-12,-134.933333333282,36.40000000020329,1
2012-07-12,-134.700000000414,33.0666666663034,1
2012-07-13,-137.466666666828,32.066666666466105,1
2012-07-13,-141.083333333474,31.866666666385797,1
2012-07-13,-140.616666666839,30.433333333148898,1
2012-07-13,-138.683333333509,33.0666666663034,1
2012-07-13,-136.43333333337299,35.999999999678295,1
2012-07-13,-136.116666666567,34.883333333276504,1
2012-07-13,-136.01666666638098,33.6333333333357,1
2012-07-13,-137.9,35.2333333331996,1
2012-07-13,-137.366666666643,34.0833333331432,1
2012-07-14,-141.599999999753,32.1999999999789,1
2012-07-14,-145.016666666925,29.383333333173297,1
2012-07-14,-144.533333333143,29.2833333334728,0
2012-07-14,-139.066666667105,31.4166666665089,1
2012-07-14,-139.983333333228,35.3833333335306,1
2012-07-14,-139.400000000159,33.7833333329825,1
2012-07-14,-139.733333333213,32.5500000000554,1
2012-07-14,-134.066666666802,36.1,0
2012-07-14,-137.983333333107,32.1499999998532,1
2012-07-15,-149.016666666268,26.8166666663547,1
2012-07-15,-147.85,26.6999999997657,0
2012-07-15,-145.1,30.116666666954497,1
2012-07-15,-142.083333333534,29.9333333329815,0
2012-07-15,-142.349999999798,34.1333333336746,0
2012-07-15,-142.366666666945,32.5833333330865,1
2012-07-15,-141.650000000295,30.0499999996999,1
2012-07-15,-137.4,35.0499999998374,1
2012-07-15,-139.133333332997,30.5666666663334,1
2012-07-16,-147.683333333154,28.716666666465102,1
2012-07-16,-152.816666667037,23.983333333722,0
2012-07-16,-151.266666666404,24.950000000123502,0
2012-07-16,-146.866666666318,29.3666666664289,0
2012-07-16,-146.050000000381,28.5499999997442,1
2012-07-16,-144.749999999763,33.1166666667209,0
2012-07-16,-145.216666666398,31.4666666663645,1
2012-07-16,-146.283333333249,29.9833333337051,1
2012-07-16,-146.966666666504,28.5166666668613,1
2012-07-16,-141.083333333474,30.25,1
2012-07-17,-150.049999999724,25.933333332962604,1
2012-07-17,-156.266666666707,21.0999999996076,0
2012-07-17,-154.433333333562,22.916666666465897,0
2012-07-17,-151.4,25.966666666599302,0
2012-07-17,-149.633333333631,26.849999999613104,1
2012-07-17,-148.68333333321502,26.3666666667741,0
2012-07-17,-147.39999999974398,27.3999999998001,0
2012-07-17,-146.083333333776,32.0833333336819,1
2012-07-17,-147.316666666705,28.8833333332149,1
2012-07-17,-148.883333333586,27.6333333337114,1
2012-07-17,-149.799999999709,26.8166666663547,1
2012-07-17,-141.650000000295,33.0166666663309,0
2012-07-17,-144.51666666689502,29.0833333330724,1
2012-07-18,-152.966666666867,23.383333333417603,0
2012-07-18,-154.183333333547,23.4499999997105,0
2012-07-18,-152.033333333597,24.4499999996208,0
2012-07-18,-150.733333332979,24.0166666666376,0
2012-07-18,-149.049999999664,30.3999999997106,0
2012-07-18,-150.083333333119,27.716666666929697,1
2012-07-18,-149.43333333326,25.7333333335042,0
2012-07-18,-150.9,25.016666666655897,1
2012-07-18,-152.049999999845,24.866666666276696,0
2012-07-18,-143.583333333625,31.866666666385797,1
