Date;Latitude;Longitude;Total Accumulation
01.08.2010;29.65;-1.560.833;1.0
07.09.2009;350.003;-1.719.347;1.0
08.07.2010;333.667;-1.547.333;1.0
08.03.2011;30. Mai;-1.504.667;1.0
09.11.2009;280.083;-1.603.058;1.0
02.02.2008;332.827;-1.649.998;1.0
08.06.2012;240.219;-1.576.883;1.0
13.09.2009;311.502;-159.979;1.0
08.03.2010;33.9;-1.550.833;1.0
08.07.2012;268.867;-1.571.617;1.0
02.04.2008;337.601;-1.604.152;1.0
16.07.2011;412.838;-1.542.545;1.0
07.11.2011;322.027;-1.568.332;1.0
29.01.2008;330.136;-1.681.356;1.0
28.01.2008;320.113;-165.4;1.0
08.11.2012;356.339;-1.541.437;1.0
30.08.2009;348.083;-136.82;1.0
07.09.2009;35.002;-1.717.438;1.0
18.08.2012;290.717;-1.550.567;1.0
02.06.2008;361.594;-1.575.585;1.0
13.09.2009;311.583;-1.602.433;1.0
07.03.2009;29.771;-1.626.273;1.0
24.11.2007;193.403;-156.087;1.0
24.01.2008;229.567;-1.619.107;1.0
08.04.2010;378.667;-1.433.333;1.0
29.07.2011;309.333;-1.565.667;1.0
08.05.2010;344.279;-1.558.867;1.0
25.07.2011;287.167;-1.566.833;1.0
07.03.2009;29.301;-162.048;1.0
30.07.2010;311.167;-1.513.333;1.0
08.06.2011;351.833;-147.7;1.0
21.07.2009;30.95;-157.35;1.0
07.12.2009;344.678;-1.764.583;1.0
18.09.2009;32.005;-1.590.086;1.0
13.02.2008;359.653;-1.398.182;1.0
08.06.2010;381.667;-1.376.833;1.0
29.07.2011;389.667;-1.617.833;1.0
31.07.2011;35.7;-139.95;1.0
07.09.2009;350.628;-171.635;1.0
08.09.2012;296.667;-1.571.333;1.0
27.09.2007;294.539;-153.52;1.0
07.08.2009;343.877;-170.019;1.0
31.08.2009;345.883;-1.337.417;1.0
14.02.2008;357.633;-1.385.103;1.0
21.09.2007;378.664;-1.438.151;1.0
08.05.2010;369.833;-1.508.167;1.0
07.11.2011;315.383;-1.568.608;1.0
27.07.2011;28.265;-1.574.175;1.0
29.07.2011;36.55;-146.5;1.0
30.07.2011;32.9;-1.556.667;1.0
02.05.2008;345.145;-1.578.488;1.0
27.07.2009;371.667;-1.389.167;1.0
08.12.2012;376.891;-1.503.047;1.0
13.02.2008;360.408;-1.403.313;1.0
09.02.2009;346.683;-1.291.617;1.0
14.02.2008;357.626;-1.387.748;1.0
07.04.2009;316.068;-1.642.543;1.0
31.01.2008;322.592;-167.992;1.0
08.03.2010;336.833;-158.05;1.0
29.01.2012;330.118;-1.679.233;1.0
24.09.2007;325.488;-1.469.627;1.0
31.07.2011;24.25;-1.567.833;1.0
02.01.2008;325.498;-1.658.103;1.0
25.09.2009;349.327;-141.896;1.0
08.10.2012;337.975;-1.555.469;1.0
26.06.2012;303.412;-1.755.211;1.0
07.12.2009;345.387;-1.763.967;1.0
08.04.2010;355.667;-1.575.833;1.0
16.09.2007;371.755;-1.339.495;1.0
08.08.2010;347.167;-1.477.333;1.0
29.07.2010;261.167;-1.533.167;1.0
08.04.2010;34.23;-1.621.567;1.0
08.01.2011;375.277;-1.522.349;1.0
02.12.2008;353.814;-1.410.245;1.0
28.01.2008;322.366;-165.914;1.0
24.09.2007;325.205;-1.472.988;1.0
13.08.2012;39.156;-1.482.517;1.0
29.07.2011;298.167;-1.569.667;1.0
02.09.2008;356.912;-1.476.655;1.0
08.07.2012;277.333;-1.571.167;1.0
13.02.2008;36.083;-1.407.946;1.0
26.07.2009;36.5;-1.420.833;1.0
02.03.2008;337.558;-1.627.216;1.0
07.04.2009;313.098;-163.994;1.0
07.05.2009;327.388;-1.652.378;1.0
27.07.2010;263.833;-1.569.333;1.0
08.09.2011;361.833;-1.582.167;1.0
28.09.2009;356.865;-1.392.023;1.0
27.06.2012;311.333;-1.743.002;1.0
08.09.2012;325.083;-1.564.917;1.0
28.07.2010;278.833;-1.555.167;1.0
31.07.2011;388.025;-1.386.878;1.0
25.09.2009;346.675;-1.420.818;1.0
25.07.2009;36.0;-1.463.333;1.0
08.06.2010;31.6;-1.574.333;1.0
23.07.2009;34.5;-153.25;1.0
28.07.2011;260.945;-1.573.422;1.0
13.08.2009;35.401;-1.367.717;1.0
02.11.2008;359.064;-1.417.822;1.0
26.08.2012;35.6;-142.135;1.0
08.03.2010;34.05;-1.579.833;1.0
02.11.2008;350.049;-1.414.513;1.0
08.04.2010;367.167;-1.439.167;1.0
13.09.2009;31.151;-1.601.013;1.0
08.03.2010;36.4;-1.463.667;1.0
27.09.2009;360.405;-1.403.197;1.0
27.06.2012;311.517;-1.740.432;1.0
08.08.2012;30.25;-156.6;1.0
08.03.2011;372.667;-1.452.667;1.0
30.01.2008;328.404;-1.700.683;1.0
21.08.2012;312.552;-1.581.222;1.0
28.07.2009;344.333;-1.458.167;1.0
19.09.2009;331.848;-159.229;1.0
18.09.2007;381.515;-1.374.531;1.0
25.09.2009;346.502;-1.422.878;1.0
20.08.2012;30.775;-1.529.033;1.0
20.07.2009;283.667;-157.35;1.0
27.07.2009;325.667;-1.474.167;1.0
15.08.2012;416.703;-1.463.295;1.0
22.07.2009;33.65;-1.551.667;1.0
08.03.2011;39.1;-1.253.167;1.0
19.07.2009;256.667;-1.580.333;1.0
08.08.2010;371.667;-1.460.833;1.0
08.07.2010;418.767;-1.613.617;1.0
24.07.2009;354.167;-1.498.833;1.0
26.09.2007;315.611;-1.526.133;1.0
30.07.2009;379.667;-1.434.833;1.0
22.07.2009;33.4;-1.569.333;1.0
08.12.2009;356.247;-1.398.972;1.0
25.07.2009;297.333;-1.506.167;1.0
29.08.2009;355.483;-1.394.417;1.0
23.08.2009;32.346;-1.575.991;1.0
08.01.2011;36.0;-136.1;1.0
29.07.2011;357.733;-1.536.367;1.0
28.06.2012;310.304;-1.722.703;1.0
27.08.2009;370.717;-1.486.533;1.0
08.03.2010;382.167;-1.424.833;1.0
02.12.2008;358.409;-1.408.203;1.0
08.10.2012;34.312;-1.553.343;1.0
19.08.2012;30.985;-154.235;1.0
08.06.2010;332.667;-154.5;1.0
25.08.2012;35.225;-1.447.883;1.0
26.09.2009;353.843;-1.410.217;1.0
26.09.2009;35.841;-1.408.242;1.0
18.09.2009;325.517;-1.599.608;1.0
07.12.2009;344.852;-1.764.423;1.0
27.08.2012;35.46;-1.387.833;1.0
25.07.2009;374.833;-142.1;1.0
08.11.2010;357.317;-1.460.215;1.0
14.07.2011;391.247;-1.569.162;1.0
24.09.2009;342.913;-1.443.522;1.0
08.08.2010;401.867;-1.623.583;1.0
26.07.2011;323.833;-154.65;1.0
08.08.2011;341.833;-1.591.667;1.0
26.07.2011;315.667;-1.535.833;1.0
28.07.2011;32.95;-159.55;1.0
08.06.2010;36.9;-149.3;1.0
27.08.2012;354.183;-139.385;1.0
26.08.2012;354.817;-1.415.217;1.0
26.09.2009;35.007;-141.434;1.0
29.07.2009;36.5;-144.9;1.0
20.08.2012;30.67;-1.524.833;1.0
28.07.2011;359.833;-1.488.167;1.0
29.01.2008;330.283;-1.675.915;1.0
28.06.2012;30. Mrz;-173.04;1.0
07.09.2009;349.987;-1.718.237;1.0
24.09.2009;34.37;-1.437.072;1.0
27.09.2009;360.135;-1.401.468;1.0
26.07.2009;310.667;-148.8;1.0
27.09.2009;359.262;-1.397.735;1.0
24.08.2009;339.533;-1.558.267;1.0
25.08.2009;358.667;-1.525.333;1.0
29.07.2010;29.55;-1.535.667;1.0
30.07.2010;278.333;-1.513.333;1.0
07.12.2009;344.268;-1.764.903;1.0
08.07.2010;335.167;-1.548.833;1.0
27.09.2009;36.074;-1.408.297;1.0
08.01.2010;351.167;-1.531.667;1.0
26.06.2012;30.25;-176.28;1.0
26.06.2012;302.152;-1.764.467;1.0
02.11.2008;34.679;-1.420.756;1.0
08.03.2010;366.333;-1.466.167;1.0
31.07.2010;299.667;-149.95;1.0
08.12.2012;37.184;-1.511.729;1.0
27.06.2012;311.021;-1.741.443;1.0
25.06.2012;300.095;-1.785.613;1.0
26.06.2012;30. Apr;-178.41;1.0
08.10.2010;371.833;-148.6;1.0
08.08.2012;305.063;-1.563.167;1.0
27.09.2009;359.848;-1.399.853;1.0
28.06.2012;30.546;-1.723.667;1.0
29.07.2011;373.833;-1.460.333;1.0
08.04.2010;35.45;-1.545.167;1.0
29.07.2011;339.758;-1.560.402;1.0
08.06.2010;333.667;-154.25;1.0
08.08.2010;352.167;-1.532.667;1.0
22.08.2012;316.334;-1.560.684;1.0
22.09.2007;366.822;-1.448.449;1.0
27.06.2012;312.573;-173.469;1.0
08.01.2010;29.65;-1.560.833;1.0
08.09.2010;362.167;-151.5;1.0
08.08.2010;352.167;-1.532.667;1.0
30.07.2011;401.167;-162.95;1.0
23.07.2009;349.333;-1.511.167;1.0
27.07.2011;339.833;-1.513.333;1.0
13.02.2008;358.875;-1.393.993;1.0
08.07.2010;323.608;-1.527.967;1.0
19.08.2012;309.867;-154.77;1.0
08.01.2011;375.417;-1.524.833;1.0
25.08.2012;353.033;-1.442.033;1.0
31.07.2011;374.767;-156.675;1.0
25.05.2009;36.45;-1.371.667;1.0
22.05.2009;33.541;-144.916;1.0
27.06.2012;313.837;-1.732.722;1.0
17.07.2011;405.463;-1.515.393;1.0
31.07.2011;378.873;-1.495.742;1.0
09.08.2011;337.167;-139.45;1.0
29.07.2010;30. Aug;-153.15;1.0
08.12.2012;361.852;-1.532.645;1.0
14.08.2012;412.205;-1.466.097;1.0
30.07.2010;32.7;-1.510.167;1.0
27.07.2010;272.333;-1.562.833;1.0
