Date,X,Y,Debris,Trash1,NoTrash2
07/07/2012,-124.5666667,48.38333333,0,0,0
07/07/2012,-124.0166667,48.28333333,0,0,0
07/07/2012,-124.0333333,48.31666667,0,0,0
07/07/2012,-124.35,48.3,1,0,0
07/07/2012,-126.1833333,44.9,1,0,0
07/07/2012,-127.95,44.65,1,0,0
08/07/2012,-125.0333333,46.43333333,0,0,0
08/07/2012,-125.7666667,45.03333333,0,0,0
08/07/2012,-125.8,45.01666667,1,0,0
08/07/2012,-125.4,45.36666667,0,0,0
08/07/2012,-125.3,46.1,0,0,0
08/07/2012,-125.45,46.61666667,1,0,0
08/07/2012,-125.85,46.01666667,1,0,0
08/07/2012,-125.5333333,46.06666667,1,0,0
08/07/2012,-128.0166667,45.48333333,1,0,0
08/07/2012,-129.2833333,42.86666667,1,0,0
09/07/2012,-126.05,43.03333333,1,0,0
09/07/2012,-127.7333333,41.55,1,0,0
09/07/2012,-126.9666667,43.2,0,0,0
09/07/2012,-126.0333333,43.18333333,1,0,0
09/07/2012,-126.6,44.58333333,0,0,0
09/07/2012,-127.0166667,43.53333333,1,0,0
09/07/2012,-126.6166667,39.56666667,1,0,0
09/07/2012,-127.0166667,43.65,0,0,0
09/07/2012,-128.7666667,40.55,1,0,0
10/07/2012,-128.0333333,39.98333333,1,0,0
10/07/2012,-128.85,38.86666667,1,0,0
10/07/2012,-128.85,40.01666667,0,0,0
10/07/2012,-128.0833333,39.85,1,0,0
10/07/2012,-128.4,42.21666667,1,0,0
10/07/2012,-129.0166667,40.55,1,0,0
10/07/2012,-128.6,36.88333333,1,0,0
10/07/2012,-127.35,42.6,1,0,0
10/07/2012,-130.45,38.38333333,0,0,0
20/07/2012,-153.6333333,23.43333333,0,0,0
11/07/2012,-132.2833333,34.2,0,0,0
11/07/2012,-131.9333333,36.18333333,0,0,0
11/07/2012,-131.6333333,37.58333333,0,0,0
11/07/2012,-130.7833333,37.2,0,0,0
11/07/2012,-132.95,39.68333333,0,0,0
11/07/2012,-130.0833333,37.15,0,0,0
11/07/2012,-132.15,38.38333333,1,0,0
11/07/2012,-131.7333333,34.8,0,0,0
11/07/2012,-129,40.76666667,0,0,0
11/07/2012,-132.7166667,36.05,1,0,0
12/07/2012,-138.1333333,33.15,1,0,0
12/07/2012,-136.8166667,32.03333333,1,0,0
12/07/2012,-135.0333333,34.06666667,1,0,0
12/07/2012,-134.5333333,35.45,0,0,0
12/07/2012,-132.8666667,36.35,1,0,0
12/07/2012,-133,34.95,1,0,0
12/07/2012,-134.9333333,36.4,1,0,0
12/07/2012,-134.7,33.06666667,1,0,0
13/07/2012,-137.4666667,32.06666667,1,0,0
13/07/2012,-141.0833333,31.86666667,1,0,0
13/07/2012,-140.6166667,30.43333333,1,0,0
13/07/2012,-138.6833333,33.06666667,1,0,0
13/07/2012,-136.4333333,36,1,0,0
13/07/2012,-136.1166667,34.88333333,1,0,0
13/07/2012,-136.0166667,33.63333333,1,0,0
13/07/2012,-137.9,35.23333333,1,0,0
13/07/2012,-137.3666667,34.08333333,1,0,0
14/07/2012,-141.6,32.2,1,0,0
14/07/2012,-145.0166667,29.38333333,1,0,0
14/07/2012,-144.5333333,29.28333333,0,0,0
14/07/2012,-139.0666667,31.41666667,1,0,0
14/07/2012,-139.9833333,35.38333333,1,0,0
14/07/2012,-139.4,33.78333333,1,0,0
14/07/2012,-139.7333333,32.55,1,0,0
14/07/2012,-134.0666667,36.1,0,0,0
14/07/2012,-137.9833333,32.15,1,0,0
15/07/2012,-149.0166667,26.81666667,1,0,0
15/07/2012,-147.85,26.7,0,0,0
15/07/2012,-145.1,30.11666667,1,0,0
15/07/2012,-142.0833333,29.93333333,0,0,0
15/07/2012,-142.35,34.13333333,0,0,0
15/07/2012,-142.3666667,32.58333333,1,0,0
15/07/2012,-141.65,30.05,1,0,0
15/07/2012,-137.4,35.05,1,0,0
15/07/2012,-139.1333333,30.56666667,1,0,0
16/07/2012,-147.6833333,28.71666667,1,0,0
16/07/2012,-152.8166667,23.98333333,0,0,0
16/07/2012,-151.2666667,24.95,0,0,0
16/07/2012,-146.8666667,29.36666667,0,0,0
16/07/2012,-146.05,28.55,1,0,0
16/07/2012,-144.75,33.11666667,0,0,0
16/07/2012,-145.2166667,31.46666667,1,0,0
