X,Y,Debris Levels,Date
-149.4,25.1,0,20/07/2012
-154.1333333,24.21666667,0,21/07/2012
-155.6166667,21.78333333,0,21/07/2012
-156.0333333,21.61666667,0,21/07/2012
-124.7666667,48.81666667,0,16/08/2012
-156.9333333,27.3,0,04/08/2012
-156.5666667,21.55,0,04/08/2012
-157,30.06666667,0,05/08/2012
-155.9333333,24.3,0,05/08/2012
-156.6,24.51666667,0,05/08/2012
-154.5666667,27.33333333,0,06/08/2012
-144.9,42.31666667,0,09/08/2012
-131.0333333,47.98333333,0,11/08/2012
-140.1666667,47.93333333,0,11/08/2012
-140.6166667,44.75,0,12/08/2012
-135.65,46.36666667,0,12/08/2012
-135.2166667,48.56666667,0,12/08/2012
-132.85,46.9,0,12/08/2012
-139.2833333,45.73333333,0,12/08/2012
-136.7,46.05,0,13/08/2012
-130.3333333,48.5,0,13/08/2012
-130.6,48.7,0,13/08/2012
-129.35,47.66666667,0,13/08/2012
-131.7,47.6,0,13/08/2012
-136.0833333,46.56666667,0,13/08/2012
-138.45,43.91666667,0,13/08/2012
-136.7,46.05,0,14/08/2012
-138.3833333,45.13333333,0,14/08/2012
-125.95,48.8,0,14/08/2012
-127.5833333,48.2,0,14/08/2012
-135.15,45.26666667,0,14/08/2012
-127.8833333,48.66666667,0,15/08/2012
-134.4666667,46.65,0,15/08/2012
-129.5833333,48.75,0,15/08/2012
-131.65,46.5,0,15/08/2012
-130.3166667,47.93333333,0,16/08/2012
-127.6333333,47.68333333,0,16/08/2012
-125.6333333,48.4,0,17/08/2012
-140.9833333,45.1,0,17/08/2012
-151.8666667,34.41666667,1,04/08/2012
-153.95,33.56666667,1,04/08/2012
-156.1833333,27.53333333,1,04/08/2012
-149.2,37.06666667,1,05/08/2012
-152.2666667,34.85,1,05/08/2012
-151.1166667,37.63333333,1,05/08/2012
-152.2,35.01666667,1,05/08/2012
-155.4,30.01666667,1,05/08/2012
-150.6166667,36.9,1,06/08/2012
-156.6166667,27.25,1,06/08/2012
-150.2166667,38.28333333,1,06/08/2012
