X,Y,Name,description,Debris Levels,Wind Speed,Wind Direction,Long,Lat,Debris Categories,Date,Boat,Field_1
-138.133333332936,33.1499999998462,Double Take,,3,15,025,-138.133333,33.15,Frequent Medium & Occasional Large Debris,7/12/2012,Double Take,Double Take
-136.816666666969,32.0333333334073,Terremoto,,1,24,033,-136.816667,32.033333,Occasional Small & Medium Debris,7/12/2012,Terremoto,Terremoto
-135.033333333468,34.0666666667952,Kinetic,,1,14,035,-135.033333,34.066667,Occasional Small & Medium Debris,7/12/2012,Kinetic,Kinetic
-134.533333333437,35.4500000001242,Red Heather,,0,10,010,-134.533333,35.45,No Debris,7/12/2012,Red Heather,Red Heather
-132.866666666371,36.3500000000103,Anne Bonny,,1,15,315,-132.866667,36.35,Occasional Small & Medium Debris,7/12/2012,Anne Bonny,Anne Bonny
-133.0,34.9499999996578,Family Affair,,3,15,040,-133,34.95,Frequent Medium & Occasional Large Debris,7/12/2012,Family Affair,Family Affair
-134.933333333282,36.4000000002033,Turicum,,1,15,015,-134.933333,36.4,Occasional Small & Medium Debris,7/12/2012,Turicum,Turicum
-134.700000000414,33.0666666663034,Radiance,,1,18,010,-134.7,33.066667,Occasional Small & Medium Debris,7/12/2012,Radiance,Radiance
-137.466666666828,32.0666666664661,Incantation,,3,16,020,-137.466667,32.066667,Frequent Medium & Occasional Large Debris,7/13/2012,Incantation,Incantation
-141.083333333474,31.8666666663858,Double Take,,3,16,027,-141.083333,31.866667,Frequent Medium & Occasional Large Debris,7/13/2012,Double Take,Double Take
-140.616666666839,30.4333333331489,Terremoto,,3,18,040,-140.616667,30.433333,Frequent Medium & Occasional Large Debris,7/13/2012,Terremoto,Terremoto
-138.683333333509,33.0666666663034,Kinetic,,1,14,032,-138.683333,33.066667,Occasional Small & Medium Debris,7/13/2012,Kinetic,Kinetic
-137.716666666843,34.2333333332337,Red Heather,,3,13,040,-137.716667,34.233333,Frequent Medium & Occasional Large Debris,7/13/2012,Red Heather,Red Heather
-137.049999999837,33.2999999999592,Bravo Zulu,,0,14,035,-137.05,33.3,No Debris,7/13/2012,Bravo Zulu,Bravo Zulu
-136.433333333373,35.9999999996783,Red Sheilla,,3,18,355,-136.433333,36,Frequent Medium & Occasional Large Debris,7/13/2012,Red Sheilla,Red Sheilla
-136.116666666567,34.8833333332765,Anne Bonny,,3,18,340,-136.116667,34.883333,Frequent Medium & Occasional Large Debris,7/13/2012,Anne Bonny,Anne Bonny
-136.016666666381,33.6333333333357,Family Affair,,2,17,030,-136.016667,33.633333,Frequent Small & Medium Debris,7/13/2012,Family Affair,Family Affair
-137.9,35.2333333331996,Turicum,,3,13,035,-137.9,35.233333,Frequent Medium & Occasional Large Debris,7/13/2012,Turicum,Turicum
-137.766666666487,31.5500000003289,Radiance,,3,17,040,-137.766667,31.55,Frequent Medium & Occasional Large Debris,7/13/2012,Radiance,Radiance
-132.233333333658,37.4333333331197,Big Ben,,0,18,000,-132.233333,37.433333,No Debris,7/13/2012,Big Ben,Big Ben
-137.366666666643,34.0833333331432,Ballymack,,3,18,050,-137.366667,34.083333,Frequent Medium & Occasional Large Debris,7/13/2012,Ballymack,Ballymack
-141.599999999753,32.1999999999789,Incantation,,2,16,020,-141.6,32.2,Frequent Small & Medium Debris,7/14/2012,Incantation,Incantation
-145.016666666925,29.3833333331733,Double Take,,1,20,055,-145.016667,29.383333,Occasional Small & Medium Debris,7/14/2012,Double Take,Double Take
-144.533333333143,29.2833333334728,Terremoto,,0,19,067,-144.533333,29.283333,No Debris,7/14/2012,Terremoto,Terremoto
-142.366666666945,32.5166666669127,Kinetic,,1,20,060,-142.366667,32.516667,Occasional Small & Medium Debris,7/14/2012,Kinetic,Kinetic
-141.316666666342,33.3833333330734,Red Heather,,1,19,020,-141.316667,33.383333,Occasional Small & Medium Debris,7/14/2012,Red Heather,Red Heather
-139.066666667105,31.4166666665089,Bravo Zulu,,1,20,040,-139.066667,31.416667,Occasional Small & Medium Debris,7/14/2012,Bravo Zulu,Bravo Zulu
-139.983333333228,35.3833333335306,Red Sheilla,,2,27,015,-139.983333,35.383333,Frequent Small & Medium Debris,7/14/2012,Red Sheilla,Red Sheilla
-134.066666666802,36.1,Big Ben,,0,22,340,-134.066667,36.1,No Debris,7/14/2012,Big Ben,Big Ben
